Student ID,Age,Gender,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Scholarship holder,HS GPA,Test Score,Family Income,First Gen,Financial Aid,Credits Attempted,Credits Completed,First Sem GPA,Attendance Rate,Extracurriculars,On-Campus,Work Hours,Mental Health,Advisor Meetings,Study Hours,Age at enrollment,Unemployment rate,Inflation rate,GDP,Target
1,36,Other,1,8,5,2,1,1,1,13,10,6,10,1,0,0,1,0,2.1,51,44478,No,17329,12,8,2.7,61,2,Yes,9,2,5,20,20,10.8,1.4,1.74,1
2,43,Male,1,6,1,11,1,1,1,1,3,4,4,1,0,0,0,0,3.7,53,48199,No,21746,13,4,3.5,77,3,Yes,28,2,3,27,19,13.9,-0.3,0.79,1
3,44,Female,1,1,5,5,1,1,1,22,27,10,10,1,0,0,0,0,2.3,65,33083,No,11099,10,7,1.1,77,5,No,1,2,2,21,19,10.8,1.4,1.74,1
4,18,Male,1,8,2,15,1,1,1,23,27,6,4,1,0,0,1,0,3.8,77,53200,No,11982,18,17,2.7,81,4,Yes,14,10,4,7,20,9.4,-0.8,-3.12,0
5,28,Female,2,12,1,3,0,1,1,22,28,10,10,0,0,0,1,0,2.7,55,100486,No,24115,11,4,1.3,92,0,Yes,3,1,2,18,45,13.9,-0.3,0.79,1
6,25,Male,2,12,1,17,0,12,1,22,27,10,8,0,0,1,1,0,2.5,85,63535,No,8013,12,8,3.9,82,1,Yes,6,10,2,13,50,16.2,0.3,-0.92,1
7,25,Other,1,1,1,12,1,1,1,13,28,8,11,1,0,0,1,1,2.5,95,124058,No,922,15,4,0.6,85,2,No,17,8,5,21,18,15.5,2.8,-4.06,1
8,38,Female,1,9,4,11,1,1,1,22,27,10,10,1,0,0,0,0,2.1,87,36695,No,939,16,10,0.8,93,4,Yes,18,6,5,13,22,15.5,2.8,-4.06,1
9,30,Female,1,1,3,10,1,1,15,1,1,10,10,0,0,0,1,1,2.9,63,30693,No,2318,16,1,2.8,96,3,Yes,29,3,1,6,21,16.2,0.3,-0.92,1
10,44,Other,1,1,1,10,1,1,1,1,14,5,8,1,0,1,0,0,2.4,52,144757,No,12765,10,5,2.4,67,1,Yes,29,5,2,34,18,8.9,1.4,3.51,1
11,38,Other,1,1,1,14,1,1,1,23,14,6,8,1,0,0,1,0,3.5,85,121327,No,55,10,1,0.6,80,2,Yes,11,6,4,24,18,13.9,-0.3,0.79,1
12,28,Male,1,1,1,12,1,1,1,13,28,10,10,1,0,0,1,1,2.9,91,41486,No,9513,12,1,2.4,76,1,No,1,8,0,25,18,12.7,3.7,-1.7,1
13,30,Male,1,1,2,16,1,1,1,13,27,5,10,1,0,0,1,0,2.2,90,138927,No,386,12,10,3.7,98,3,No,13,3,4,7,19,12.7,3.7,-1.7,0
14,18,Female,1,17,1,11,1,16,1,1,1,5,8,1,0,0,1,1,3.3,90,94321,No,14229,10,2,2.4,87,5,No,5,7,2,20,21,8.9,1.4,3.51,1
15,45,Other,1,1,1,6,1,1,1,23,27,6,6,1,0,0,1,1,3.4,75,131326,No,15145,17,17,1.4,73,0,No,20,10,4,37,18,10.8,1.4,1.74,0
16,35,Other,1,1,1,15,1,1,1,13,27,10,4,1,0,0,1,0,3.6,90,55394,No,2840,15,11,0.1,78,4,Yes,24,4,2,10,20,15.5,2.8,-4.06,1
17,45,Other,1,9,1,10,1,1,1,13,28,6,9,1,0,0,1,0,3.3,93,82139,No,22522,9,5,1.4,97,5,Yes,30,10,4,11,18,10.8,1.4,1.74,1
18,33,Male,1,8,2,12,1,1,1,13,1,6,5,1,0,0,1,0,2.2,70,71446,No,6749,15,9,0.7,81,4,Yes,21,5,2,21,18,15.5,2.8,-4.06,1
19,25,Male,1,1,1,8,1,1,1,3,14,4,6,1,0,0,1,0,2,77,39836,No,15191,16,15,0.2,97,2,Yes,3,8,1,16,20,10.8,1.4,1.74,1
20,26,Other,1,1,1,16,1,1,1,13,14,8,8,1,0,0,1,0,3.2,95,78769,No,22730,18,5,3.2,82,5,Yes,29,10,4,20,18,16.2,0.3,-0.92,1
21,45,Female,1,1,3,2,1,1,1,1,1,10,9,0,0,0,1,1,3,57,30680,No,7404,15,11,3.6,67,4,No,0,3,1,7,21,11.1,0.6,2.02,1
22,33,Other,1,9,4,13,1,1,1,1,28,5,8,1,0,0,1,0,2.1,65,34760,No,8308,9,4,1.4,92,5,Yes,29,6,5,40,20,12.7,3.7,-1.7,1
23,44,Other,1,1,4,12,1,1,1,13,14,2,2,1,0,0,1,0,3.7,92,20491,No,3954,10,10,3.3,71,4,No,2,5,5,20,18,12.7,3.7,-1.7,1
24,25,Male,1,1,4,14,1,1,1,1,28,5,8,1,0,0,1,1,2.9,81,91598,No,14078,15,0,3.2,74,5,Yes,8,8,4,33,19,11.1,0.6,2.02,1
25,44,Male,1,1,1,12,1,1,1,13,14,4,8,0,0,0,1,0,3.7,65,63722,No,2770,16,14,3.5,97,2,No,29,3,3,8,19,11.1,0.6,2.02,1
26,19,Female,1,1,1,10,1,1,1,13,28,10,10,1,0,1,1,1,2.8,65,104212,No,6335,15,3,0,80,1,No,8,2,3,9,18,7.6,2.6,0.32,1
27,29,Other,1,8,2,10,1,1,1,13,28,8,9,1,0,0,1,0,2.2,61,80001,No,4505,13,8,3.3,66,4,No,22,5,3,16,21,16.2,0.3,-0.92,1
28,30,Female,1,1,1,6,1,1,1,13,14,4,4,1,0,0,1,0,3,80,94562,No,9625,17,15,1.2,63,4,No,1,4,1,38,18,9.4,-0.8,-3.12,1
29,20,Female,1,1,1,9,1,1,1,13,1,10,10,1,0,0,1,0,2.5,92,121774,No,16477,17,7,3.5,98,2,Yes,4,9,5,36,20,16.2,0.3,-0.92,0
30,20,Male,1,8,2,12,1,1,1,3,3,2,11,1,0,0,1,0,3.9,79,24218,No,19476,10,3,0.9,80,5,No,29,9,1,37,19,16.2,0.3,-0.92,1
31,22,Female,1,15,1,4,1,14,1,4,5,5,3,0,0,0,1,0,2.9,87,113474,No,10298,13,5,0.1,78,3,Yes,22,5,4,39,21,16.2,0.3,-0.92,1
32,23,Male,1,16,1,5,1,1,1,27,3,16,22,1,0,0,1,0,3.9,58,63072,No,1512,10,6,1.7,82,0,No,25,2,3,9,20,8.9,1.4,3.51,1
33,35,Other,1,1,1,9,1,1,1,1,1,5,7,0,0,0,0,0,3.4,51,92614,No,4570,16,6,3.8,75,5,Yes,24,9,1,40,18,8.9,1.4,3.51,1
34,35,Male,1,9,1,3,0,1,1,13,1,10,6,1,0,0,1,0,3.7,74,20011,No,11045,16,16,0.9,96,1,Yes,4,2,4,23,19,12.4,0.5,1.79,0
35,43,Other,1,1,1,17,0,1,1,2,27,4,10,0,0,0,1,0,2.3,87,30291,No,5965,13,6,2.8,97,3,Yes,18,2,0,10,34,13.9,-0.3,0.79,1
36,21,Other,1,12,1,1,1,1,1,23,27,10,7,0,0,1,0,0,3.8,61,134920,No,24059,9,3,3.2,70,1,No,4,6,0,15,37,8.9,1.4,3.51,1
37,34,Female,1,12,1,7,1,8,1,19,27,1,1,1,0,0,1,0,2.6,65,144569,No,20634,12,8,2.2,90,3,No,20,7,1,14,43,7.6,2.6,0.32,1
38,28,Male,1,14,1,9,1,1,1,22,27,7,7,0,0,0,1,0,2.3,81,117647,No,23882,10,0,3.8,96,3,No,19,2,5,29,55,16.2,0.3,-0.92,1
39,21,Other,4,12,1,17,0,1,1,13,14,10,4,1,0,0,1,0,3.5,89,139175,No,20231,18,5,1.4,88,2,Yes,25,1,2,5,39,7.6,2.6,0.32,1
40,40,Other,1,15,1,8,1,14,3,4,4,4,7,0,0,1,0,0,3.3,71,94402,No,20183,13,6,3.1,84,4,Yes,10,1,2,35,20,12.4,0.5,1.79,1
41,32,Female,1,1,5,15,1,1,1,3,3,3,3,0,0,1,1,0,3.9,95,50593,No,10622,16,2,1.9,62,2,Yes,16,4,3,10,18,12.7,3.7,-1.7,1
42,37,Female,1,1,2,9,1,1,1,3,14,3,8,1,0,0,1,0,4,97,70251,No,5827,10,4,1.3,62,1,No,3,2,2,19,22,8.9,1.4,3.51,1
43,36,Other,1,1,6,12,1,1,1,1,3,3,3,1,1,0,1,0,2.6,90,48043,No,6773,11,3,3.8,74,5,No,1,2,0,14,22,11.1,0.6,2.02,1
44,32,Other,1,8,1,15,1,1,1,1,28,6,6,0,0,0,0,0,2.5,93,114193,No,15070,11,6,3.8,97,4,Yes,2,7,3,37,20,12.4,0.5,1.79,0
45,30,Female,1,12,1,17,0,1,1,22,27,10,10,0,0,0,1,0,3.3,79,21798,No,19154,13,8,1.2,69,4,No,26,1,0,12,29,16.2,0.3,-0.92,1
46,23,Male,1,8,1,17,0,1,1,23,28,5,6,0,0,0,1,0,3.1,79,89250,No,8917,16,7,3.3,71,1,Yes,20,3,1,32,24,7.6,2.6,0.32,1
47,35,Other,1,8,2,10,1,1,1,13,14,10,10,1,0,0,1,0,2,60,99249,No,6046,16,10,0.8,66,3,No,6,4,0,21,18,11.1,0.6,2.02,1
48,20,Male,1,8,6,12,1,1,1,22,14,8,8,1,0,0,1,1,3.1,76,61899,No,20542,9,6,2.8,61,1,No,7,3,2,5,22,11.1,0.6,2.02,0
49,43,Female,1,15,1,3,0,14,1,1,14,10,10,0,0,0,1,1,3.7,97,70936,No,21921,9,1,1.1,91,4,No,27,10,0,5,21,12.4,0.5,1.79,0
